Block Type;96well;;;
Chemistry;SYBR_GREEN;;;
Experiment File Name;D:\Documents and Settings\INSTR-ADMIN\My Documents\LukaszL_qPCR\miRNA_2-1.eds;;;
Experiment Run End Time;2017-06-16 11:25:46 AM CEST;;;
Instrument Type;steponeplus;;;
Passive Reference;;;;
;;;;
Well;Cycle;Target Name;Rn;?Rn
C7;4;Target 1;30933,70313;-240,3305969
C7;5;Target 1;31221,57813;-120,4814835
C7;6;Target 1;31393,36719;-116,7182999
C7;7;Target 1;31316,89453;-361,2168579
C7;8;Target 1;31704,16016;-141,9771118
C7;9;Target 1;31783,875;-230,288147
C7;10;Target 1;32124,79492;-57,39411163
C7;11;Target 1;32602,44531;252,2303925
C7;12;Target 1;32629,26758;111,0267715
C7;13;Target 1;32966,60938;280,3426819
C7;14;Target 1;33124,54688;270,254303
C7;15;Target 1;33617,66797;595,3494873
C7;16;Target 1;33534,32813;343,9837952
C7;17;Target 1;33463,65234;105,2821121
C7;18;Target 1;33776,11328;249,7171631
C7;19;Target 1;33887,37109;192,9490967
C7;20;Target 1;34020,47656;158,0286713
C7;21;Target 1;34035,07031;4,596541405
C7;22;Target 1;34288,64844;90,14878082
C7;23;Target 1;34471,50391;104,978363
C7;24;Target 1;34412,27734;-122,274086
C7;25;Target 1;34553,34375;-149,2335663
C7;26;Target 1;34711,17969;-159,4235077
C7;27;Target 1;35117,01563;78,38654327
C7;28;Target 1;34967,52344;-239,1315308
C7;29;Target 1;35143,24219;-231,4386597
C7;30;Target 1;35381,72656;-160,9801788
C7;31;Target 1;35583,86719;-126,8654404
C7;32;Target 1;35985,45313;106,6946182
C7;33;Target 1;36001,47656;-45,30783081
C7;34;Target 1;36062,15625;-152,6540375
C7;35;Target 1;35821,29297;-561,5432129
C7;36;Target 1;36119,58594;-431,276123
C7;37;Target 1;36407,71875;-311,1691895
C7;38;Target 1;36392,96875;-493,9450684
C7;39;Target 1;36680,15625;-374,7834473
C7;40;Target 1;36933,53906;-289,4265442
C8;1;Target 1;45142,60156;288,2352905
C8;2;Target 1;44845,80469;-94,66015625
C8;3;Target 1;44980,61719;-45,94621277
C8;4;Target 1;44878,92578;-233,7361755
C8;5;Target 1;45126,14063;-72,61988831
C8;6;Target 1;45566,08594;281,2268677
C8;7;Target 1;45487,05469;116,0970535
C8;8;Target 1;45548,53906;91,48287201
C8;9;Target 1;45565,06641;21,91165924
C8;10;Target 1;45557,96094;-71,29236603
C8;11;Target 1;45688,12891;-27,22295761
C8;12;Target 1;45816,10938;14,65895462
C8;13;Target 1;46000,46875;112,9197693
C8;14;Target 1;45786,16797;-187,4795685
C8;15;Target 1;45607,17969;-452,5664063
C8;16;Target 1;45680,33984;-465,5048218
C8;17;Target 1;45857,38672;-374,556488
C8;18;Target 1;46209,84375;-108,1980133
C8;19;Target 1;46388,27344;-15,86688709
C8;20;Target 1;46434,82422;-55,41466522
C8;21;Target 1;46494,70313;-81,63431549
C8;22;Target 1;46651,68359;-10,75240421
C8;23;Target 1;46795,10156;46,56700897
C8;24;Target 1;47061,69141;227,0582886
C8;25;Target 1;47488,65625;567,9245605
C8;26;Target 1;48208,23438;1201,404175
C8;27;Target 1;49705,60156;2612,672852
C8;28;Target 1;52691,51563;5512,488281
C8;29;Target 1;58335,51563;11070,38965
C8;30;Target 1;68958,83594;21607,61133
C8;31;Target 1;87846,97656;40409,65234
C8;32;Target 1;116214,75;68691,32813
C8;33;Target 1;149694,9688;102085,4453
C8;34;Target 1;180723,7188;133028,0938
C8;35;Target 1;209571,125;161789,4063
C8;36;Target 1;235237,5938;187369,7813
C8;37;Target 1;257883,0938;209929,1719
C8;38;Target 1;275514,875;227474,8594
C8;39;Target 1;290747,1875;242621,0781
C8;40;Target 1;303459,125;255246,9219
C9;1;Target 1;28683,26172;42,8367424
C9;2;Target 1;28769,47461;-45,35375977
C9;3;Target 1;28686,79688;-302,4348755
C9;4;Target 1;28978,46484;-185,1703033
C9;5;Target 1;29255,61719;-82,4213562
C9;6;Target 1;29697,8125;185,3705597
C9;7;Target 1;29618,61328;-68,23204803
C9;8;Target 1;30165,01953;303,770813
C9;9;Target 1;30206,32227;170,6701508
C9;10;Target 1;30343,40625;133,3507385
C9;11;Target 1;30597,19336;212,7344666
C9;12;Target 1;30638,51953;79,65724182
C9;13;Target 1;30589,37891;-143,8867798
C9;14;Target 1;30916,47656;8,807487488
C9;15;Target 1;31142,89844;60,8259697
C9;16;Target 1;31144,13281;-112,3430481
C9;17;Target 1;31276,15234;-154,7269135
C9;18;Target 1;31499,31055;-105,9720993
C9;19;Target 1;31291,39063;-488,2954102
C9;20;Target 1;31577,48633;-376,6030884
C9;21;Target 1;31633,46875;-495,0240784
C9;22;Target 1;31722,35352;-580,5427246
C9;23;Target 1;31919,5957;-557,7039185
C9;24;Target 1;32248,79688;-402,9061279
C9;25;Target 1;32464,21094;-361,8954468
C9;26;Target 1;32931,25781;-69,25196838
C9;27;Target 1;33569,49219;394,57901
C9;28;Target 1;34830,91016;1481,593628
C9;29;Target 1;37722,55469;4198,834961
C9;30;Target 1;43172,08984;9473,966797
C9;31;Target 1;53284,44922;19411,92188
C9;32;Target 1;70596,03125;36549,10156
C9;33;Target 1;99126,13281;64904,80078
C9;34;Target 1;136931,1406;102535,4063
C9;35;Target 1;180672,3125;146102,1719
C9;36;Target 1;220530,5;185785,9531
C9;37;Target 1;255144,5625;220225,6094
C9;38;Target 1;281155,9375;246062,5938
C9;39;Target 1;304893,8125;269626,0625
C9;40;Target 1;320103,2813;284661,125
C10;1;Target 1;21889,66016;-73,49145508
C10;2;Target 1;21910,67773;34,79838943
C10;3;Target 1;21985,96289;197,3558197
C10;4;Target 1;21867,22266;165,8878479
C10;5;Target 1;21808,03711;193,9745636
C10;6;Target 1;21722,51172;195,7214508
C10;7;Target 1;21602,75781;163,2398071
C10;8;Target 1;21514,45703;162,2113037
C10;9;Target 1;21362,33984;97,36637878
C10;10;Target 1;21153,94922;-23,75197792
C10;11;Target 1;21142,03516;51,60622787
C10;12;Target 1;21127,50195;124,3452911
C10;13;Target 1;21047,25781;131,3734283
C10;14;Target 1;20809,83008;-18,78204346
C10;15;Target 1;20561,84375;-179,496109
C10;16;Target 1;20483,54297;-170,5246124
C10;17;Target 1;20390,56445;-176,2308655
C10;18;Target 1;20360,85938;-118,6636734
C10;19;Target 1;20314,80859;-77,44218445
C10;20;Target 1;20201,98047;-102,9980392
C10;21;Target 1;20027,0293;-190,6769409
C10;22;Target 1;19822,03516;-308,3988037
C10;23;Target 1;19707,37891;-335,7828064
C10;24;Target 1;19703,73633;-252,1531067
C10;25;Target 1;19565,79297;-302,8241882
C10;26;Target 1;19551,45313;-229,8917694
C10;27;Target 1;19438,00391;-256,0687256
C10;28;Target 1;19433,59375;-173,206604
C10;29;Target 1;19484,27148;-35,25660324
C10;30;Target 1;19427,66992;-4,585898399
C10;31;Target 1;19312,71875;-32,26480103
C10;32;Target 1;19263,36328;5,65199852
C10;33;Target 1;19197,92969;27,49067307
C10;34;Target 1;19154,38281;71,21606445
C10;35;Target 1;19116,69531;120,8008347
C10;36;Target 1;19121,5;212,8777924
C10;37;Target 1;19118,28906;296,9391174
C10;38;Target 1;19052,85156;318,7738953
C10;39;Target 1;19098,97266;452,1672668
C10;40;Target 1;18974,54492;415,0117798
C11;1;Target 1;30199,03906;545,7155762
C11;2;Target 1;30237,75;551,5587158
C11;3;Target 1;30094,21094;375,151886
C11;4;Target 1;29966,6543;214,7274628
C11;5;Target 1;30076,54688;291,7522583
C11;6;Target 1;29814,76953;-2,892855167
C11;7;Target 1;30012,81641;162,2862396
C11;8;Target 1;29727,64063;-155,757309
C11;9;Target 1;29813,41406;-102,8516464
C11;10;Target 1;29848,74023;-100,3932495
C11;11;Target 1;29644,66016;-337,341095
C11;12;Target 1;29806,82031;-208,0487213
C11;13;Target 1;29787,1875;-260,5493164
C11;14;Target 1;29988,70508;-91,89950562
C11;15;Target 1;30010,07813;-103,3942337
C11;16;Target 1;30350,2207;203,8805695
C11;17;Target 1;30262,40234;83,19442749
C11;18;Target 1;29889,86523;-322,2104492
C11;19;Target 1;30005,43359;-239,5098724
C11;20;Target 1;30383,12695;105,315712
C11;21;Target 1;30283,30469;-27,3743248
C11;22;Target 1;30438,91797;95,37117767
C11;23;Target 1;30160,29883;-216,1157379
C11;24;Target 1;30399,19141;-10,09093189
C11;25;Target 1;30295,34766;-146,8024597
C11;26;Target 1;30495,70898;20,69109535
C11;27;Target 1;30712,72461;204,8389435
C11;28;Target 1;31108,77539;568,0219727
C11;29;Target 1;31056,55664;482,9354248
C11;30;Target 1;31849,9668;1243,477783
C11;31;Target 1;33356,40625;2717,049561
C11;32;Target 1;36182,32031;5510,095703
C11;33;Target 1;40936,51563;10231,42285
C11;34;Target 1;49657,30859;18919,34766
C11;35;Target 1;65388,94531;34618,11719
C11;36;Target 1;90506,97656;59703,28125
C11;37;Target 1;118455,8516;87619,28906
C11;38;Target 1;145997,1563;115127,7266
C11;39;Target 1;173781,2813;142878,9844
C11;40;Target 1;199624,6094;168689,4375
C12;1;Target 1;36094,27344;-168,4927063
C12;2;Target 1;36416,08594;282,2849121
C12;3;Target 1;36477,20313;472,367218
C12;4;Target 1;35996,5;120,6292114
C12;5;Target 1;35695,22266;-51,68301392
C12;6;Target 1;35449,55469;-168,3858643
C12;7;Target 1;35373,37109;-115,6043396
C12;8;Target 1;35350,01563;-9,994691849
C12;9;Target 1;35244,375;13,32980061
C12;10;Target 1;35028,65625;-73,42382813
C12;11;Target 1;34772,07031;-201,0446472
C12;12;Target 1;34621,93359;-222,2162476
C12;13;Target 1;34453,98438;-261,2003479
C12;14;Target 1;34570,38672;-15,83289242
C12;15;Target 1;34531,90625;74,65175629
C12;16;Target 1;34478,23438;149,9449921
C12;17;Target 1;34334,69922;135,3749542
C12;18;Target 1;34082,05078;11,6916399
C12;19;Target 1;33911,08203;-30,31199265
C12;20;Target 1;33943,49219;131,0632782
C12;21;Target 1;33753,63281;70,16902161
C12;22;Target 1;33550,39844;-4,100233555
C12;23;Target 1;33330,91406;-94,61949158
C12;24;Target 1;33279,24219;-17,32624817
C12;25;Target 1;33072,65625;-94,94706726
C12;26;Target 1;33090,69922;52,06101608
C12;27;Target 1;33012,41016;102,7370758
C12;28;Target 1;32807,37891;26,6709404
C12;29;Target 1;32665,98828;14,24543285
C12;30;Target 1;32804,98828;282,2105408
C12;31;Target 1;32970,23828;576,4256592
C12;32;Target 1;33043,85547;779,0079956
C12;33;Target 1;33125,85156;989,9691772
C12;34;Target 1;33806,35156;1799,434326
C12;35;Target 1;34797,76563;2919,813477
C12;36;Target 1;36515,51563;4766,528809
C12;37;Target 1;39665,64063;8045,618652
C12;38;Target 1;44598,69531;13107,63867
C12;39;Target 1;51263,63672;19901,54492
C12;40;Target 1;58445,8125;27212,68555
D1;1;Target 1;25053,23828;502,7452393
D1;2;Target 1;24636,50781;64,46096802
D1;3;Target 1;24660,01953;66,41889191
D1;4;Target 1;24631,09766;15,94322205
D1;5;Target 1;24622,87109;-13,83713722
D1;6;Target 1;24732,69141;74,42938232
D1;7;Target 1;24849,71094;169,8951111
D1;8;Target 1;24792,52148;91,1518631
D1;9;Target 1;24828,65234;105,7289276
D1;10;Target 1;24608,31641;-136,1608124
D1;11;Target 1;24642,37891;-123,6521072
D1;12;Target 1;24494,41016;-293,1746521
D1;13;Target 1;24617,00781;-192,1307983
D1;14;Target 1;24804,73828;-25,95411873
D1;15;Target 1;24768,78516;-83,46103668
D1;16;Target 1;24900,12109;26,32110023
D1;17;Target 1;24878,91406;-16,43972778
D1;18;Target 1;24975,80469;58,89710236
D1;19;Target 1;24969,05273;30,59135056
D1;20;Target 1;25054,77344;94,758255
D1;21;Target 1;25132,24414;150,6751709
D1;22;Target 1;25003,29883;0,176055372
D1;23;Target 1;25160,33594;135,6593628
D1;24;Target 1;25201,17578;154,9454193
D1;25;Target 1;25295,64453;227,8603668
D1;26;Target 1;25355,73828;266,4003296
D1;27;Target 1;25413,65625;302,7644958
D1;28;Target 1;25695,39453;562,9489746
D1;29;Target 1;25761,03125;607,0319214
D1;30;Target 1;26417,80859;1242,255493
D1;31;Target 1;27168,24023;1971,133301
D1;32;Target 1;28986,0918;3767,431152
D1;33;Target 1;32001,04297;6760,828613
D1;34;Target 1;37860,62891;12598,86035
D1;35;Target 1;48138,40234;22855,08008
D1;36;Target 1;65013,19141;39708,31641
D1;37;Target 1;88086,98438;62760,55469
D1;38;Target 1;115578,4297;90230,44531
D1;39;Target 1;143621,2188;118251,6797
D1;40;Target 1;170654,1094;145263,0156
D2;1;Target 1;24650,83008;657,6533813
D2;2;Target 1;24621,42578;590,1968994
D2;3;Target 1;24309,91406;240,6329651
D2;4;Target 1;24080,94531;-26,38798714
D2;5;Target 1;24271,89844;126,5129318
D2;6;Target 1;24167,84961;-15,58809662
D2;7;Target 1;24329,25391;107,7639999
D2;8;Target 1;24285,10156;25,55945015
D2;9;Target 1;24271,41016;-26,18415833
D2;10;Target 1;24170,98438;-164,6621399
D2;11;Target 1;24213,98047;-159,7182465
D2;12;Target 1;24352,47852;-59,27241135
D2;13;Target 1;24364,38086;-85,42227173
D2;14;Target 1;24231,97266;-255,8826752
D2;15;Target 1;24409,55469;-116,3528442
D2;16;Target 1;24450;-113,9597397
D2;17;Target 1;24579,64063;-22,37131691
D2;18;Target 1;24713,15234;73,0881958
D2;19;Target 1;24807,52539;129,4090424
D2;20;Target 1;24812,01953;95,85098267
D2;21;Target 1;25001,20508;246,9843292
D2;22;Target 1;24981,52734;189,2543793
D2;23;Target 1;25108,33984;278,014679
D2;24;Target 1;25128,37109;259,9937439
D2;25;Target 1;25409,76563;503,3360596
D2;26;Target 1;25619,04492;674,5631714
D2;27;Target 1;25825,42188;842,8878784
D2;28;Target 1;26196,51172;1175,925537
D2;29;Target 1;26734,35547;1675,717041
D2;30;Target 1;28141,73047;3045,039795
D2;31;Target 1;30753,88672;5619,144043
D2;32;Target 1;35809,08203;10636,28711
D2;33;Target 1;45444,58594;20233,73828
D2;34;Target 1;63110,91016;37862,01172
D2;35;Target 1;93627,95313;68341
D2;36;Target 1;135833,8281;110508,8281
D2;37;Target 1;181869,5938;156506,5313
D2;38;Target 1;220841,2656;195440,1563
D2;39;Target 1;249918,0469;224478,8906
D2;40;Target 1;271308,5625;245831,3438
D3;1;Target 1;28227,62891;161,9635925
D3;2;Target 1;28484,13281;299,5801086
D3;3;Target 1;28466,32031;162,880249
D3;4;Target 1;28531,25781;108,9303741
D3;5;Target 1;28444,23242;-96,98239136
D3;6;Target 1;28580,16602;-79,93617249
D3;7;Target 1;28868,33008;89,34051514
D3;8;Target 1;28902,03711;4,160173893
D3;9;Target 1;28832,8457;-183,9186096
D3;10;Target 1;28960,3125;-175,3391876
D3;11;Target 1;29252,04492;-2,494134665
D3;12;Target 1;29303,60156;-69,82486725
D3;13;Target 1;29559,92383;67,6100235
D3;14;Target 1;29720,4668;109,2656174
D3;15;Target 1;29709,29492;-20,79362869
D3;16;Target 1;29799,65625;-49,31967545
D3;17;Target 1;30096,5;128,6367035
D3;18;Target 1;30157,05859;70,30792236
D3;19;Target 1;30193,28906;-12,34898376
D3;20;Target 1;30221,80273;-102,7226868
D3;21;Target 1;30414,90234;-28,51045036
D3;22;Target 1;30643,35938;81,0592041
D3;23;Target 1;30574,1582;-107,029335
D3;24;Target 1;30748,96875;-51,10616302
D3;25;Target 1;30902,25586;-16,70642853
D3;26;Target 1;31116,25977;78,41010284
D3;27;Target 1;31166,58594;9,848901749
D3;28;Target 1;31217,82617;-57,79823685
D3;29;Target 1;31569,67969;175,1679077
D3;30;Target 1;31707,45117;194,0520172
D3;31;Target 1;32205,50977;573,2232056
D3;32;Target 1;33129,12109;1377,947144
D3;33;Target 1;35009,82031;3139,759033
D3;34;Target 1;38138,875;6149,92627
D3;35;Target 1;44349,35156;12241,51563
D3;36;Target 1;56020,1875;23793,46484
D3;37;Target 1;77419,99219;45074,38281
D3;38;Target 1;113032,3125;80567,8125
D3;39;Target 1;162273,6719;129690,2891
D3;40;Target 1;213295,8125;180593,5469
D4;1;Target 1;24339,69922;418,0643616
D4;2;Target 1;24369,92578;331,5046692
D4;3;Target 1;24186,66797;31,4605751
D4;4;Target 1;24259,13281;-12,86085129
D4;5;Target 1;24276,17969;-112,6002426
D4;6;Target 1;24498,27539;-7,290811539
D4;7;Target 1;24615,82813;-6,524346352
D4;8;Target 1;24827,84375;88,70500946
D4;9;Target 1;25004,58594;148,6609344
D4;10;Target 1;24975,08594;2,374657869
D4;11;Target 1;25113,41797;23,92041969
D4;12;Target 1;25111,97266;-94,31116486
D4;13;Target 1;25457,62891;134,5588226
D4;14;Target 1;25323,9375;-115,9188538
D4;15;Target 1;25514,17188;-42,47075272
D4;16;Target 1;25557,0625;-116,366394
D4;17;Target 1;25873,54102;83,32585144
D4;18;Target 1;25838,4043;-68,59713745
D4;19;Target 1;25953,02734;-70,76036072
D4;20;Target 1;26088,45117;-52,12280273
D4;21;Target 1;26382,95703;125,5967865
D4;22;Target 1;26435,36719;61,22067642
D4;23;Target 1;26296,93945;-193,9933319
D4;24;Target 1;26515,56641;-92,1526413
D4;25;Target 1;26676,44922;-48,05610275
D4;26;Target 1;27082,15234;240,8607483
D4;27;Target 1;27640,78516;682,7072754
D4;28;Target 1;28506,09766;1431,233521
D4;29;Target 1;30026,5332;2834,882813
D4;30;Target 1;32942,62891;5634,192383
D4;31;Target 1;38735,54688;11310,32422
D4;32;Target 1;49626,75;22084,74023
D4;33;Target 1;68033,39844;40374,60156
D4;34;Target 1;94406,4375;66630,85938
D4;35;Target 1;125595,6172;97703,25
D4;36;Target 1;157347,75;129338,5938
D4;37;Target 1;187677,8125;159551,875
D4;38;Target 1;212553,0313;184310,2969
D4;39;Target 1;233598,9063;205239,3906
D4;40;Target 1;250240,2188;221763,9219
D5;1;Target 1;34496,41406;-568,2307129
D5;2;Target 1;34382,47656;-824,5030518
D5;3;Target 1;34803,45703;-545,8574219
D5;4;Target 1;35238,86719;-252,7821198
D5;5;Target 1;35534,64844;-99,33570862
D5;6;Target 1;35672,32813;-103,99086
D5;7;Target 1;35793,98047;-124,6733551
D5;8;Target 1;36078,91016;17,92148972
D5;9;Target 1;36235,09766;31,77414894
D5;10;Target 1;36159,92969;-185,728653
D5;11;Target 1;36813,36719;325,3739929
D5;12;Target 1;36788,75;158,4219666
D5;13;Target 1;37165,14453;392,4816589
D5;14;Target 1;37384,10156;469,1038513
D5;15;Target 1;37419,00781;361,6752625
D5;16;Target 1;37528,19531;328,5279236
D5;17;Target 1;37226,42188;-115,5803528
D5;18;Target 1;37526,28516;41,94808578
D5;19;Target 1;37866,09375;239,4218445
D5;20;Target 1;38008,45313;239,4463654
D5;21;Target 1;37697,48438;-213,8572235
D5;22;Target 1;38105,03516;51,35872269
D5;23;Target 1;38105,96094;-90,05033875
D5;24;Target 1;38250,49219;-87,85392761
D5;25;Target 1;38415,26563;-65,41532898
D5;26;Target 1;38159,64844;-463,3673706
D5;27;Target 1;38670,19531;-95,15532684
D5;28;Target 1;38804,00781;-103,6776657
D5;29;Target 1;38939,89063;-110,1296921
D5;30;Target 1;38600,75781;-591,5973511
D5;31;Target 1;38839,51563;-495,1743774
D5;32;Target 1;38958,80859;-518,2162476
D5;33;Target 1;39046,57422;-572,7854614
D5;34;Target 1;39287,50781;-474,1867065
D5;35;Target 1;39464,76563;-439,2637329
D5;36;Target 1;39600,17578;-446,1884155
D5;37;Target 1;39474,21094;-714,4880981
D5;38;Target 1;39656,03516;-674,9987183
D5;39;Target 1;39937,53125;-535,8374634
D5;40;Target 1;39883,17969;-732,5238647
D6;1;Target 1;28898,23828;591,973877
D6;2;Target 1;28902,70703;524,7458496
D6;3;Target 1;28772,56641;322,9083557
D6;4;Target 1;28632;110,645134
D6;5;Target 1;28606,13086;13,07916164
D6;6;Target 1;28485,59375;-179,1547852
D6;7;Target 1;28475,42578;-261,0195923
D6;8;Target 1;28641,06641;-167,0757904
D6;9;Target 1;28715,50781;-164,3312073
D6;10;Target 1;28851,10547;-100,4303818
D6;11;Target 1;28998,51172;-24,72096443
D6;12;Target 1;29136,63281;41,70329666
D6;13;Target 1;29300,80664;134,1802979
D6;14;Target 1;29338,66602;100,3428421
D6;15;Target 1;29470,01367;159,9936676
D6;16;Target 1;29526,71484;144,9980011
D6;17;Target 1;29459,72266;6,308987141
D6;18;Target 1;29473,84766;-51,26284409
D6;19;Target 1;29617,90234;21,09501266
D6;20;Target 1;29702,77148;34,26732254
D6;21;Target 1;29749,56055;9,359554291
D6;22;Target 1;29661,01172;-150,8861084
D6;23;Target 1;29581,70117;-301,8934937
D6;24;Target 1;29659,16602;-296,1254578
D6;25;Target 1;29771,4043;-255,5840149
D6;26;Target 1;29873,75391;-224,9312439
D6;27;Target 1;30095,04297;-75,33901215
D6;28;Target 1;30547,77734;305,6985474
D6;29;Target 1;31239,11914;925,3435059
D6;30;Target 1;32430,23438;2044,761963
D6;31;Target 1;34651,18359;4194,01416
D6;32;Target 1;38854,20313;8325,336914
D6;33;Target 1;46853,47656;16252,91406
D6;34;Target 1;61494,43359;30822,17383
D6;35;Target 1;86326,32031;55582,36328
D6;36;Target 1;120610,875;89795,21875
D6;37;Target 1;159526,1563;128638,8047
D6;38;Target 1;194004,9063;163045,8594
D6;39;Target 1;225362,0625;194331,3125
D6;40;Target 1;249279,6094;218177,1719
D7;1;Target 1;30554,29102;-977,2839355
D7;2;Target 1;30970,30078;-810,6738892
D7;3;Target 1;31261,61133;-768,7630005
D7;4;Target 1;31574,43555;-705,338501
D7;5;Target 1;32720,875;191,7012024
D7;6;Target 1;33063,95313;285,3796082
D7;7;Target 1;33277,08984;249,1166077
D7;8;Target 1;33457,66797;180,2950134
D7;9;Target 1;33849,35156;322,5788879
D7;10;Target 1;34004,23438;228,0619965
D7;11;Target 1;34279,85547;254,283371
D7;12;Target 1;34361,86719;86,89537048
D7;13;Target 1;34740,34375;215,9722137
D7;14;Target 1;34865,85156;92,08030701
D7;15;Target 1;35151,34375;128,1727753
D7;16;Target 1;35374,47656;101,9058685
D7;17;Target 1;35526,72266;4,752245426
D7;18;Target 1;35648,90625;-122,4638824
D7;19;Target 1;35688,02734;-332,7424927
D7;20;Target 1;36333,19922;63,02965546
D7;21;Target 1;36289,17188;-230,3974152
D7;22;Target 1;36524,44922;-244,5197754
D7;23;Target 1;36483,36719;-535,0015259
D7;24;Target 1;36756,85938;-510,9090576
D7;25;Target 1;37135,16016;-382,0079956
D7;26;Target 1;37228,54297;-538,0249023
D7;27;Target 1;37734,21875;-281,7488403
D7;28;Target 1;38263,84375;-1,523559332
D7;29;Target 1;38931,26563;416,4985962
D7;30;Target 1;40838,89063;2074,723877
D7;31;Target 1;43906,0625;4892,496094
D7;32;Target 1;49621,76563;10358,7998
D7;33;Target 1;59688,15625;20175,79102
D7;34;Target 1;77168,1875;37406,42188
D7;35;Target 1;102119,3125;62108,14844
D7;36;Target 1;133238,7188;92978,15625
D7;37;Target 1;167730,1875;127220,2266
D7;38;Target 1;198432,5313;157673,1719
D7;39;Target 1;226110,0313;185101,2656
D7;40;Target 1;251103,875;209845,7188
D8;1;Target 1;28167,35156;213,1359711
D8;2;Target 1;28090,23047;26,00334167
D8;3;Target 1;28325,3125;151,073822
D8;4;Target 1;28147,44531;-136,8049011
D8;5;Target 1;28314,24609;-80,01566315
D8;6;Target 1;28406,41211;-97,8611908
D8;7;Target 1;28558,05273;-56,23211288
D8;8;Target 1;28651,92773;-72,36865997
D8;9;Target 1;28878,0625;43,75456238
D8;10;Target 1;28891,03906;-53,2804184
D8;11;Target 1;29132,17188;77,84085083
D8;12;Target 1;29196,59961;32,25704193
D8;13;Target 1;29480,06445;205,7103424
D8;14;Target 1;29463,33398;78,96833038
D8;15;Target 1;29531,84375;37,46654892
D8;16;Target 1;29680,94922;76,56047821
D8;17;Target 1;29704,49609;-9,904193878
D8;18;Target 1;29826,4375;2,025668144
D8;19;Target 1;29961,43555;27,01217079
D8;20;Target 1;30059,26758;14,83265877
D8;21;Target 1;30146,9043;-7,54216671
D8;22;Target 1;30030,96484;-233,4931641
D8;23;Target 1;29959,61719;-414,852356
D8;24;Target 1;30033,98633;-450,4947815
D8;25;Target 1;30141,92188;-452,5707703
D8;26;Target 1;30369,25781;-335,2463684
D8;27;Target 1;30395,48633;-419,0293884
D8;28;Target 1;30602,07813;-322,4491577
D8;29;Target 1;30820,54883;-213,9899902
D8;30;Target 1;30980,89453;-163,6558228
D8;31;Target 1;31185,43945;-69,12245178
D8;32;Target 1;31702,93164;338,3581848
D8;33;Target 1;32539,87109;1065,286133
D8;34;Target 1;33955,02344;2370,427002
D8;35;Target 1;36677,48438;4982,876465
D8;36;Target 1;41868,72656;10064,10742
D8;37;Target 1;51922,74609;20008,11523
D8;38;Target 1;70406,5625;38381,91797
D8;39;Target 1;101849,9609;69715,30469
D8;40;Target 1;144854,375;112609,7109
D9;1;Target 1;33657,84375;666,7585449
D9;2;Target 1;33474,80859;422,0221252
D9;3;Target 1;33293,13281;178,6450806
D9;4;Target 1;33236,57031;60,38130569
D9;5;Target 1;33236,92969;-0,960594833
D9;6;Target 1;33230,07813;-69,51343536
D9;7;Target 1;33105,60156;-255,6912689
D9;8;Target 1;33640,78125;217,7871399
D9;9;Target 1;33489,04688;4,351493835
D9;10;Target 1;33479,20703;-67,18962097
D9;11;Target 1;33512,47656;-95,62136841
D9;12;Target 1;33609,5;-60,29920578
D9;13;Target 1;33561,01563;-170,484848
D9;14;Target 1;33826,29688;33,09511948
D9;15;Target 1;34025,19922;170,2961884
D9;16;Target 1;33974,24219;57,63788223
D9;17;Target 1;33842,57422;-135,7313538
D9;18;Target 1;34061,54297;21,53611565
D9;19;Target 1;34040,70703;-61,00109482
D9;20;Target 1;34336,17188;172,7624664
D9;21;Target 1;34226;0,889322937
D9;22;Target 1;34402,63281;115,8208618
D9;23;Target 1;34539;190,4867706
D9;24;Target 1;34888,62891;478,4143982
D9;25;Target 1;35045,17188;573,2561035
D9;26;Target 1;35470,15234;936,5352783
D9;27;Target 1;35969,73047;1374,412109
D9;28;Target 1;36986,03906;2329,019531
D9;29;Target 1;39487,45313;4768,732422
D9;30;Target 1;44127,74219;9347,320313
D9;31;Target 1;52593,33594;17751,21289
D9;32;Target 1;68655,17188;33751,34766
D9;33;Target 1;97665,57813;62700,05078
D9;34;Target 1;144969,1094;109941,8828
D9;35;Target 1;210514,2656;175425,3438
D9;36;Target 1;275917,4688;240766,8438
D9;37;Target 1;326191,3438;290979
D9;38;Target 1;355478,0625;320204,0313
D9;39;Target 1;380488,7813;345153,0625
D9;40;Target 1;394196,6875;358799,25
D10;1;Target 1;30018,25195;178,0754089
D10;2;Target 1;30004,23438;130,3024292
D10;3;Target 1;30054,14453;146,4571991
D10;4;Target 1;29830,41992;-111,0228119
D10;5;Target 1;30042,24023;67,042099
D10;6;Target 1;29941,1875;-67,76603699
D10;7;Target 1;29971,53906;-71,16986847
D10;8;Target 1;30057,15234;-19,31198883
D10;9;Target 1;30126,88281;16,66308212
D10;10;Target 1;30181,40039;37,42525864
D10;11;Target 1;30217,39844;39,66790771
D10;12;Target 1;30253,17383;41,68790054
D10;13;Target 1;30145,80859;-99,43273163
D10;14;Target 1;30177,91406;-101,0826645
D10;15;Target 1;30365,94922;53,19709396
D10;16;Target 1;30318,6875;-27,82002449
D10;17;Target 1;30475,72852;95,46559143
D10;18;Target 1;30404,13281;-9,885509491
D10;19;Target 1;30455,29297;7,519247532
D10;20;Target 1;30570,41016;88,88103485
D10;21;Target 1;30706,53711;191,252594
D10;22;Target 1;30829,33984;280,2999268
D10;23;Target 1;30814,76367;231,9683533
