Block Type;96well;;;
Chemistry;SYBR_GREEN;;;
Experiment File Name;D:\Documents and Settings\INSTR-ADMIN\My Documents\LukaszL_qPCR\miRNA_2-1.eds;;;
Experiment Run End Time;2017-06-16 11:25:46 AM CEST;;;
Instrument Type;steponeplus;;;
Passive Reference;;;;
;;;;
Well;Cycle;Target Name;Rn;?Rn
A7;17;Target 1;27450,42188;-109,0018082
A7;18;Target 1;27450,70313;-133,244751
A7;19;Target 1;27441,56641;-166,9056549
A7;20;Target 1;27824,41406;191,4178162
A7;21;Target 1;27448,35938;-209,1610565
A7;22;Target 1;27697,21875;15,17413521
A7;23;Target 1;27593,42383;-113,1449738
A7;24;Target 1;27636,60742;-94,48556519
A7;25;Target 1;27807,41797;51,80079269
A7;26;Target 1;27813,32813;33,18676376
A7;27;Target 1;28422,57227;617,9067383
A7;28;Target 1;28479,28711;650,0973511
A7;29;Target 1;29016,11328;1162,399414
A7;30;Target 1;30532,02539;2653,787354
A7;31;Target 1;33343,18359;5440,421387
A7;32;Target 1;38971,77734;11044,49121
A7;33;Target 1;48918,48047;20966,66992
A7;34;Target 1;66784,26563;38807,92969
A7;35;Target 1;94128,64844;66127,78906
A7;36;Target 1;131484,5313;103459,1484
A7;37;Target 1;173087,75;145037,8438
A7;38;Target 1;204774,4375;176700
A7;39;Target 1;234305,8281;206206,875
A7;40;Target 1;260174,875;232051,3906
A8;1;Target 1;20355,77734;-71,83068848
A8;2;Target 1;20301,12109;-142,6212616
A8;3;Target 1;20407,07813;-52,7985611
A8;4;Target 1;20406,56055;-69,45046234
A8;5;Target 1;20520,875;28,72966385
A8;6;Target 1;20572,22656;63,94690323
A8;7;Target 1;20573,80469;49,39070129
A8;8;Target 1;20626,9375;86,38919067
A8;9;Target 1;20562,38672;5,704082489
A8;10;Target 1;20567,43164;-5,38532114
A8;11;Target 1;20555,87891;-33,07238007
A8;12;Target 1;20583,13281;-21,95279884
A8;13;Target 1;20584,21484;-37,00509262
A8;14;Target 1;20620,40625;-16,94801331
A8;15;Target 1;20609,20117;-44,28741455
A8;16;Target 1;20674,34766;4,724743366
A8;17;Target 1;20689,71094;3,95369935
A8;18;Target 1;20683,44531;-18,44625092
A8;19;Target 1;20774,5332;56,50731277
A8;20;Target 1;20756,28516;22,12494278
A8;21;Target 1;20899,5625;149,2679596
A8;22;Target 1;20955,92188;189,4930115
A8;23;Target 1;21078,75977;296,1965637
A8;24;Target 1;21266,26172;467,564209
A8;25;Target 1;21481,89453;667,0626831
A8;26;Target 1;21784,70703;953,7408447
A8;27;Target 1;22307,99219;1460,891724
A8;28;Target 1;23297,26172;2434,026855
A8;29;Target 1;25193,19922;4313,830078
A8;30;Target 1;28695,95703;7800,453613
A8;31;Target 1;34778,62891;13866,99121
A8;32;Target 1;45191,35156;24263,58008
A8;33;Target 1;61512,53906;40568,63281
A8;34;Target 1;82307,50781;61347,46875
A8;35;Target 1;105080,4844;84104,3125
A8;36;Target 1;128062,6953;107070,3828
A8;37;Target 1;151718,7188;130710,2734
A8;38;Target 1;172118,4844;151093,9063
A8;39;Target 1;190889,7969;169849,0781
A8;40;Target 1;206738,1719;185681,3281
A9;1;Target 1;24905,21094;-7,062451363
A9;2;Target 1;24928,16016;-67,3199234
A9;3;Target 1;25056,38086;-22,3059082
A9;4;Target 1;25126,35156;-35,54189301
A9;5;Target 1;25214,69922;-30,4009285
A9;6;Target 1;25430,04688;101,740036
A9;7;Target 1;25309,39453;-102,1189957
A9;8;Target 1;25562,15625;67,43603516
A9;9;Target 1;25540,05469;-37,87221527
A9;10;Target 1;25667,05859;5,925000191
A9;11;Target 1;25909,77734;165,4370575
A9;12;Target 1;25871,37891;43,83193207
A9;13;Target 1;25825,10156;-85,65209961
A9;14;Target 1;25967,95703;-26,00332069
A9;15;Target 1;26072,57031;-4,596728325
A9;16;Target 1;26113,46875;-46,90497971
A9;17;Target 1;26211,30859;-32,2718277
A9;18;Target 1;26366,08594;39,29882813
A9;19;Target 1;26222,86328;-187,1305237
A9;20;Target 1;26368,24609;-124,9543915
A9;21;Target 1;26461,61328;-114,7938995
A9;22;Target 1;26525,82422;-133,7896423
A9;23;Target 1;26578,03906;-164,7814941
A9;24;Target 1;26738,97266;-87,05458832
A9;25;Target 1;26919,69531;10,46137714
A9;26;Target 1;27157,4082;164,9675751
A9;27;Target 1;27600,01172;524,3643799
A9;28;Target 1;28463,16992;1304,315918
A9;29;Target 1;30149,7207;2907,659912
A9;30;Target 1;33370,73438;6045,466797
A9;31;Target 1;39546,84766;12138,37402
A9;32;Target 1;50835,74219;23344,06055
A9;33;Target 1;71872,95313;44298,06641
A9;34;Target 1;106452,9844;78794,89063
A9;35;Target 1;155211,8906;127470,5859
A9;36;Target 1;204320,375;176495,875
A9;37;Target 1;246554,625;218646,9063
A9;38;Target 1;279354,8125;251363,8906
A9;39;Target 1;306372;278297,875
A9;40;Target 1;325814,5938;297657,25
A10;1;Target 1;17181,12891;726,9483032
A10;2;Target 1;17015,7793;603,0227661
A10;3;Target 1;16853,78516;482,4527283
A10;4;Target 1;16685,95313;356,0447388
A10;5;Target 1;16589,02148;300,5371704
A10;6;Target 1;16435,69336;188,6331329
A10;7;Target 1;16348,05859;142,4224243
A10;8;Target 1;16238,9209;74,70880127
A10;9;Target 1;16122,38086;-0,407165438
A10;10;Target 1;15986,18945;-95,17449951
A10;11;Target 1;15908,0498;-131,8900757
A10;12;Target 1;15827,93066;-170,5851593
A10;13;Target 1;15809,77148;-147,3202667
A10;14;Target 1;15787,57031;-128,0973663
A10;15;Target 1;15689,83008;-184,4135284
A10;16;Target 1;15609,60449;-223,2150421
A10;17;Target 1;15583,0752;-208,320282
A10;18;Target 1;15508,24219;-241,7292175
A10;19;Target 1;15495,8623;-212,6850281
A10;20;Target 1;15501,50879;-165,6144714
A10;21;Target 1;15423,46387;-202,235321
A10;22;Target 1;15440,87598;-143,3991394
A10;23;Target 1;15445,99219;-96,85886383
A10;24;Target 1;15409,01563;-92,41136169
A10;25;Target 1;15403,14551;-56,85740662
A10;26;Target 1;15329,1875;-89,39134216
A10;27;Target 1;15295,54102;-81,6137619
A10;28;Target 1;15287,8418;-47,88890839
A10;29;Target 1;15302,39648;8,089846611
A10;30;Target 1;15284,75586;31,87329102
A10;31;Target 1;15280,21387;68,75537109
A10;32;Target 1;15256,97949;86,94506073
A10;33;Target 1;15155,37891;26,76854706
A10;34;Target 1;15215,75488;128,5685883
A10;35;Target 1;15161,25195;115,4897308
A10;36;Target 1;15211,34668;207,0085297
